,LMA (g/m²),N content (mg/cm²),LAI (m²/m²),C content (mg/cm²),Chl content (μg/cm²),EWT (mg/cm²),Carotenoid content (μg/cm²),Phosphorus content (mg/cm²),Lignin (mg/cm²),Cellulose (mg/cm²),Fiber (mg/cm²),Anthocyanin content (μg/cm²),NSC (mg/cm²),Magnesium content (mg/cm²),Ca content (mg/cm²),Potassium content (mg/cm²),Boron content (mg/cm²),Copper content (mg/cm²),Sulfur content (mg/cm²),Manganese content (mg/cm²)
0,64.24614305,0.1525836,,,26.52690577,26.59206829,,,,,,,,0.015379224,0.275347303,,,,,
1,29.9912538,0.093848577,,,30.0367018,17.79641736,,,,,,,,0.003823674,0.072642543,,,,,
2,102.1825775,0.244742171,,,47.90419839,46.31338702,,,,,,,,0.035063251,0.181073296,,,,,
3,45.92720386,0.097272637,,,27.87120037,8.695349306,,,,,,,,0.018198558,0.040435249,,,,,
4,28.77857195,0.052461011,,,17.60445922,9.342698097,,,,,,,,0.00438853,0.012135445,,,,,
5,49.83335037,0.143695208,,,32.53311774,16.94286654,,,,,,,,0.012409902,0.103948973,,,,,
6,36.91427123,0.133302753,,,39.49312606,14.86925138,,,,,,,,0.011323768,0.080374327,,,,,
7,48.05413597,0.111962249,,,26.58720846,18.31798941,,,,,,,,0.020236358,0.100838479,,,,,
8,113.0900434,0.12825777,,,67.09652688,38.17283359,,,,,,,,0.020829275,0.169020693,,,,,
9,34.76276919,0.08115698,,,23.75527923,13.8884682,,,,,,,,0.008599453,0.043194762,,,,,
10,50.27567923,0.110111128,,,25.13063808,11.31116801,,,,,,,,0.015450305,0.046416659,,,,,
11,69.46906478,0.113035783,,,21.35919553,14.82166847,,,,,,,,0.019422242,0.046444037,,,,,
12,67.8801724,0.0665295,,,10.97772846,11.34314447,,,,,,,,0.01126033,0.046023997,,,,,
13,32.1700701,0.055200398,,,25.14113285,22.97066601,,,,,,,,0.005091897,0.024482133,,,,,
14,51.89149601,0.146627133,,,30.09513686,10.69936498,,,,,,,,0.023494443,0.269231068,,,,,
15,35.97769547,,3.715885375,,24.74853403,12.44634345,7.6387921,,,,,1.183458544,,,,,,,,
16,36.9198346,,3.225553406,,49.51951783,17.61414408,11.36733485,,,,,2.203916684,,,,,,,,
17,36.61105799,,3.742598897,,36.9835463,17.55874329,9.102526397,,,,,1.440179677,,,,,,,,
18,27.7723988,,3.357968412,,36.83426917,19.52696055,9.789430026,,,,,1.108106957,,,,,,,,
19,32.11285694,,4.192724298,,28.81359031,12.27228794,8.818611137,,,,,1.03938171,,,,,,,,
20,58.92742501,,4.141808737,,36.7674536,29.68865273,10.76277878,,,,,1.052231379,,,,,,,,
21,43.43945031,,5.421877346,,28.85918498,12.3132729,8.927648595,,,,,1.244632136,,,,,,,,
22,35.78591539,,4.204001103,,36.47055088,15.1210767,9.270984968,,,,,1.526747342,,,,,,,,
23,33.74587456,,4.481435119,,45.55877197,13.71606101,10.71617282,,,,,1.80954791,,,,,,,,
24,43.53514834,,4.485881643,,32.19180842,11.3438397,8.883702827,,,,,1.548682441,,,,,,,,
25,38.89339451,,3.822819014,,32.27359121,9.502207244,8.240334269,,,,,1.353375679,,,,,,,,
26,33.30008697,,4.389625722,,44.48197455,13.53057073,10.61304618,,,,,1.787605601,,,,,,,,
27,27.42268675,,4.700901471,,33.82634554,10.65348648,9.952183496,,,,,1.552383007,,,,,,,,
28,80.36627993,,3.759931329,,27.27274307,14.01958829,7.636412252,,,,,0.899222057,,,,,,,,
29,66.26940983,,3.425237653,,65.78746429,16.42242072,11.81566551,,,,,1.966255405,,,,,,,,
30,61.81341426,,4.412365862,,35.35636132,29.287044,10.51436442,,,,,0.954817133,,,,,,,,
31,31.49394443,,4.884210302,,45.27360399,14.72916797,10.23247548,,,,,1.697388864,,,,,,,,
32,65.2067324,,3.923795299,,65.23446673,15.51732901,11.8744989,,,,,1.924018552,,,,,,,,
33,41.93905608,,3.369947368,,38.16800044,13.15753698,10.50268515,,,,,1.601601675,,,,,,,,
34,46.70047309,,6.108822862,,27.6368137,11.57710975,8.992708093,,,,,1.259378707,,,,,,,,
35,32.45701257,,5.278662794,,47.37842108,13.42554801,10.35868298,,,,,1.842325529,,,,,,,,
36,38.36041721,,5.240058953,,31.73432508,8.25136098,8.524533881,,,,,1.276457211,,,,,,,,
37,32.52056429,,4.108608501,,42.09714222,13.15436887,10.43986145,,,,,1.783211244,,,,,,,,
38,30.12904325,,2.613833333,,44.015923,11.12007663,10.56141058,,,,,1.821228878,,,,,,,,
39,41.7909094,,5.717736946,,23.78679723,11.67683963,7.736232404,,,,,0.991956573,,,,,,,,
40,63.80367415,,4.781208072,,64.49800286,14.11223209,11.98259155,,,,,1.877727171,,,,,,,,
41,63.43735471,,4.713696921,,34.25481866,28.92176064,10.29975661,,,,,0.887631126,,,,,,,,
42,48.01394563,,6.420321489,,27.08789375,11.3822893,9.015993091,,,,,1.264645664,,,,,,,,
43,50.48847478,,4.191274827,,24.31924474,18.48007733,8.95578582,,,,,1.944066923,,,,,,,,
44,41.83916494,,5.87790025,,23.32824614,11.66737137,7.657132165,,,,,0.961961234,,,,,,,,
45,37.43180758,,5.925026832,,31.71963405,7.811832227,8.584121683,,,,,1.237092425,,,,,,,,
46,58.5651751,,3.943202797,,28.45031267,18.17278041,9.552855932,,,,,1.084473351,,,,,,,,
47,44.90826644,,5.902418681,,26.81828212,11.01644528,7.92927479,,,,,1.061115099,,,,,,,,
48,42.91006068,,6.788100103,,22.77758909,8.367177851,8.253987734,,,,,1.150381191,,,,,,,,
49,59.0593343,,3.862216783,,26.07333361,18.20132716,9.038706446,,,,,0.990815705,,,,,,,,
50,62.71661944,,4.844914541,,34.1971874,28.83632487,10.26202721,,,,,0.895464031,,,,,,,,
51,55.53693991,,3.854646322,,22.08819256,18.77487902,8.61043112,,,,,1.897955168,,,,,,,,
52,31.70336507,,6.415076348,,32.35728747,6.458155527,9.218814645,,,,,1.641391023,,,,,,,,
53,38.33461334,,2.909333333,,35.89534758,10.61475233,10.16360424,,,,,1.320596283,,,,,,,,
54,22.50803571,,1.858291667,,38.39620628,13.11663738,9.320611597,,,,,0.883358995,,,,,,,,
55,72.74611619,,4.641223112,,27.47263906,8.836697532,7.4605969,,,,,0.826782152,,,,,,,,
56,42.35764772,,6.963662216,,21.98208923,8.091869568,8.118327095,,,,,1.080355284,,,,,,,,
57,41.98972279,,3.374735698,,26.15394666,11.58914382,8.82499384,,,,,1.083660955,,,,,,,,
58,36.04456478,,6.402107714,,31.9807988,7.687798481,8.5398066,,,,,1.207258995,,,,,,,,
59,45.41496866,,3.871961687,,34.00032586,11.21163814,10.24798483,,,,,1.318675993,,,,,,,,
60,59.2008438,,3.676365636,,21.53018624,18.97383604,8.497638273,,,,,1.854265509,,,,,,,,
61,72.42844938,,2.584951945,,55.00570944,14.54209223,11.13476521,,,,,1.622620864,,,,,,,,
62,72.93179209,,4.760539755,,27.40009407,8.797265605,7.385503045,,,,,0.823327697,,,,,,,,
63,35.17895595,,6.562690531,,32.2148271,7.744092235,8.478685476,,,,,1.195916538,,,,,,,,
64,59.5977244,,3.460538462,,21.04433891,18.48879941,7.891821855,,,,,0.760114808,,,,,,,,
65,38.48585108,,2.30175,,33.37537407,10.51803882,9.855424652,,,,,1.346815794,,,,,,,,
66,22.58639951,,3.072958333,,32.86791398,12.97006206,8.945212834,,,,,0.867921871,,,,,,,,
67,73.53338316,,4.871980591,,27.29730308,8.993371736,7.297325962,,,,,0.822335775,,,,,,,,
68,40.57266738,,3.253200895,,25.82283736,11.7300868,8.672395886,,,,,1.087790034,,,,,,,,
69,22.10883459,,3.041625,,28.02330676,12.55038527,8.254399566,,,,,0.786463997,,,,,,,,
70,37.60110323,,3.16485103,,25.6252487,11.99572138,8.458120481,,,,,1.08914282,,,,,,,,
71,38.3521201,,4.121387061,,24.33269448,9.935795849,7.564019586,,,,,1.231163432,,,,,,,,
72,34.81204616,,5.611214375,,17.73229557,12.5513526,6.340708164,,,,,0.767367106,,,,,,,,
73,39.14990484,,6.45405284,,27.27409445,11.51470477,7.818749856,,,,,0.951142302,,,,,,,,
74,48.83286355,,4.865256771,,38.25888014,29.53324452,10.79363189,,,,,1.254407721,,,,,,,,
75,45.4051996,,6.372061306,,27.25109702,13.43555161,8.921904389,,,,,1.243162473,,,,,,,,
76,38.72009334,,4.839004412,,26.80851816,11.05586883,8.577315905,,,,,1.333822322,,,,,,,,
77,38.14481738,,1.619476923,,29.14563102,16.92061118,9.145648196,,,,,1.811253989,,,,,,,,
78,36.26487582,,6.314886998,,27.78846144,12.26830518,7.83546837,,,,,0.904622172,,,,,,,,
79,28.22699461,,3.548916226,,26.38295517,9.66721146,7.628084805,,,,,1.375737356,,,,,,,,
80,36.82126187,,3.006486157,,44.20410957,14.08841431,11.55268946,,,,,2.555483253,,,,,,,,
81,34.64131597,,6.184733347,,28.11360048,12.75526425,7.853870158,,,,,0.879512883,,,,,,,,
82,24.00362683,,3.266803037,,27.29976381,9.626582067,7.675159212,,,,,1.437060598,,,,,,,,
