,LMA (g/m²),N content (mg/cm²),LAI (m²/m²),C content (mg/cm²),Chl content (μg/cm²),EWT (mg/cm²),Carotenoid content (μg/cm²),Phosphorus content (mg/cm²),Lignin (mg/cm²),Cellulose (mg/cm²),Fiber (mg/cm²),Anthocyanin content (μg/cm²),NSC (mg/cm²),Magnesium content (mg/cm²),Ca content (mg/cm²),Potassium content (mg/cm²),Boron content (mg/cm²),Copper content (mg/cm²),Sulfur content (mg/cm²),Manganese content (mg/cm²)
0,50.76994952,0.073144104,,,11.52918621,12.71285039,,,,,,,,0.011551063,0.125558682,,,,,
1,28.34180776,0.085647211,,,23.12853602,6.949855171,,,,,,,,0.004670719,0.010789872,,,,,
2,71.58453461,0.114687831,,,23.21848045,10.46521947,,,,,,,,0.004969519,0.01955494,,,,,
3,44.2014247,0.08916631,,,20.54481648,15.21383097,,,,,,,,0.006906362,0.061640254,,,,,
4,38.16490978,0.092245121,,,25.34002976,10.57074582,,,,,,,,0.010864533,0.072309884,,,,,
5,39.18884664,0.108137476,,,38.23814723,12.20587454,,,,,,,,0.015775557,0.069431934,,,,,
6,25.77022922,0.051511003,,,22.080311,9.967703459,,,,,,,,0.009610481,0.030815905,,,,,
7,31.08603966,0.04747902,,,23.91327112,17.32206252,,,,,,,,0.012774677,0.058461105,,,,,
8,22.69160438,0.051424567,,,16.20385481,8.571388333,,,,,,,,0.003581386,0.010143739,,,,,
9,61.61360547,0.106175239,,,23.15972671,11.62537096,,,,,,,,0.027613964,0.082162542,,,,,
10,68.74100401,0.159121484,,,41.05300708,11.49932506,,,,,,,,0.027306638,0.071898664,,,,,
11,59.72004836,0.080953398,,,18.99645619,8.422862264,,,,,,,,0.018418499,0.057298998,,,,,
12,37.99579726,0.163797519,,,34.70645849,22.44784016,,,,,,,,0.010664077,0.062827348,,,,,
13,46.37532882,0.094156813,,,35.67605125,28.98655318,,,,,,,,0.005906801,0.078787772,,,,,
14,58.70334871,0.118195741,,,35.90387324,12.18004419,,,,,,,,0.019362762,0.286663139,,,,,
15,50.9067299,,2.272846154,,42.52215804,20.12315496,12.04510322,,,,,1.335144561,,,,,,,,
16,42.00822564,,5.134309486,,29.37303977,12.67704261,8.897926897,,,,,1.237890976,,,,,,,,
17,37.60414549,,4.173440607,,24.80128858,12.23324826,7.723132358,,,,,1.150168938,,,,,,,,
18,43.19109794,,3.894037603,,34.53438166,12.06075203,8.957947219,,,,,1.611423618,,,,,,,,
19,38.36118092,,3.240217105,,46.01352367,16.25833497,11.0960983,,,,,2.022006727,,,,,,,,
20,58.61776705,,0.911763095,,64.51499952,17.23039267,11.97217215,,,,,1.60783379,,,,,,,,
21,29.15163754,,3.923863111,,40.00152803,17.77987424,9.947849003,,,,,1.330279578,,,,,,,,
22,67.57285272,,2.880112503,,66.46363893,17.46254127,11.75364076,,,,,2.0212197,,,,,,,,
23,44.69856644,,5.680152195,,28.39852904,12.00869418,8.953352694,,,,,1.250460478,,,,,,,,
24,30.39215275,,4.432610407,,42.81463964,16.18061005,10.09553082,,,,,1.52670688,,,,,,,,
25,36.91383652,,3.93844974,,27.94839843,11.91446451,8.91272299,,,,,1.054615961,,,,,,,,
26,38.8303937,,4.347204076,,32.02487189,9.006384738,8.361043194,,,,,1.325353351,,,,,,,,
27,40.87079166,,3.312414087,,40.33776498,14.03003142,10.66377346,,,,,1.720849222,,,,,,,,
28,40.90530109,,5.248714375,,24.44824659,11.79758961,7.812712635,,,,,1.053594385,,,,,,,,
29,45.82269622,,3.373980965,,24.48339931,12.06181494,8.066245947,,,,,1.152003879,,,,,,,,
30,32.68743185,,4.203212413,,42.75115967,13.24972466,10.47489049,,,,,1.774437268,,,,,,,,
31,50.83524248,,5.0425,,35.05451056,19.74640475,10.73895234,,,,,1.335178499,,,,,,,,
32,64.38482051,,4.375785438,,64.80464625,14.74726613,11.93014091,,,,,1.894509141,,,,,,,,
33,33.0901478,,5.685774142,,34.23203511,8.370676395,9.505040566,,,,,1.69754301,,,,,,,,
34,74.68457969,,4.236018348,,27.50879805,10.36822165,7.6073791,,,,,0.851920708,,,,,,,,
35,43.630688,,6.258569337,,25.03162027,9.107053296,8.498987764,,,,,1.287310977,,,,,,,,
36,37.95344154,,5.608528767,,31.69249759,7.992159728,8.567315642,,,,,1.255583399,,,,,,,,
37,43.70250301,,3.527883514,,35.16470099,11.89586277,10.29065679,,,,,1.425768991,,,,,,,,
38,32.56740661,,5.965258456,,33.62577264,7.433142834,9.453609794,,,,,1.69637318,,,,,,,,
39,33.92806174,,2.87325,,40.73031583,10.90360133,10.43740353,,,,,1.582356432,,,,,,,,
40,44.39768553,,3.628286378,,34.33116607,11.506683,10.23971672,,,,,1.369183855,,,,,,,,
41,72.97635552,,4.514030664,,27.51493805,9.111667516,7.522607527,,,,,0.832699138,,,,,,,,
42,41.62438808,,5.988498232,,22.78447745,11.69184094,7.550791842,,,,,0.932514939,,,,,,,,
43,44.96850741,,3.742979102,,33.94304103,11.27860812,10.22549274,,,,,1.333486189,,,,,,,,
44,71.33457834,,2.457662347,,56.28995722,14.7361503,11.21007591,,,,,1.624923015,,,,,,,,
